epoch,accuracy,loss,val_accuracy,val_loss
0,0.3703293800354004,1.3256237506866455,0.4322766661643982,1.2852723598480225
1,0.6476612091064453,0.9823758006095886,0.6743515729904175,0.9134505391120911
2,0.7968447208404541,0.5716366767883301,0.6974063515663147,0.7739269137382507
3,0.8402988910675049,0.4126587510108948,0.7089337110519409,0.7808952331542969
4,0.8798782229423523,0.33121374249458313,0.7002881765365601,0.8238198161125183
5,0.9100470542907715,0.264967679977417,0.6743515729904175,0.8919296264648438
6,0.924439549446106,0.22037626802921295,0.6916426420211792,0.952579140663147
7,0.9391087889671326,0.18831303715705872,0.6829971075057983,1.0009890794754028
8,0.9526709318161011,0.15213172137737274,0.6743515729904175,1.0755716562271118
9,0.9587600231170654,0.13509640097618103,0.6628242135047913,1.0901641845703125
10,0.9640188217163086,0.12032274156808853,0.6743515729904175,1.162496566772461
11,0.9690008163452148,0.10781528055667877,0.6628242135047913,1.2357226610183716
12,0.9709382653236389,0.10133284330368042,0.6685879230499268,1.2462944984436035
13,0.9706615209579468,0.091687873005867,0.6628242135047913,1.2802503108978271
14,0.9748131632804871,0.08370903879404068,0.6714697480201721,1.335047960281372
15,0.973706066608429,0.08205125480890274,0.6628242135047913,1.3971304893493652
16,0.975089967250824,0.0721772313117981,0.6685879230499268,1.4239647388458252
17,0.9761970639228821,0.07100550830364227,0.680115282535553,1.4253079891204834
18,0.976473867893219,0.06449919193983078,0.6743515729904175,1.5251691341400146
19,0.9781345129013062,0.06373317539691925,0.6772334575653076,1.4962809085845947
20,0.9745364189147949,0.06308206915855408,0.6772334575653076,1.508560061454773
21,0.9786880612373352,0.05280419439077377,0.6714697480201721,1.5836825370788574
22,0.9781345129013062,0.05860838666558266,0.6657060384750366,1.5850197076797485
23,0.9761970639228821,0.05297321453690529,0.6685879230499268,1.6303589344024658
24,0.976473867893219,0.055540408939123154,0.6772334575653076,1.6094671487808228
